Member	MidMemberAge	Formation	noComLocs	mnHYP	mnHOR	mnAL	mnOL	mnSF	mnOT	mnCM	sdHYP	sdHOR	sdAL	sdOL	sdSF	sdOT	sdCM	mn_temp_high	sd_temp_high	mn_pred_npp_ecom	mn_pred_npp_ecomI	sd_pred_npp_ecom	sd_pred_npp_ecomI	mn_pred_npp_base_ecom	sd_pred_npp_base_ecom	mnLOP	sdLOP	mn_pred_habitat	sd_pred_habitat	mn_pred_taxa	sd_pred_taxa
Lower Nawata	7.8	Nawata	1	2	1.24	0.12	0.8	0.24	0.24	0.28	NA	NA	NA	NA	NA	NA	NA	20.328	NA	1517.262	1673.08	NA	NA	1363.8	NA	1.24	NA	1284.214	NA	1030.249	NA
Upper Nawata	5.75	Nawata	1	2.074	1.222	0.148	0.815	0.222	0.222	0.222	NA	NA	NA	NA	NA	NA	NA	20.769	NA	1415.841	1473.133	NA	NA	1447.142	NA	1.259	NA	1204.333	NA	658.468	NA
Apak	4.22	Nachukui	1	2.207	1.379	0.103	0.862	0.207	0.345	0.276	NA	NA	NA	NA	NA	NA	NA	21.571	NA	1182.704	1498.255	NA	NA	1195.328	NA	1.241	NA	1218.235	NA	770.037	NA
Kanapoi	4.16	Kanapoi	3	2.151	1.488	0.099	0.651	0.204	0.386	0.343	0.17	0.093	0.033	0.052	0.06	0.038	0.043	26.188	4.591	1024.229	1635.892	102.839	93.936	1136.412	111.556	0.837	0.213	1241.566	75.534	976.393	358.564
Kataboi	3.71	Nachukui	3	1.952	1.462	0.071	0.628	0.186	0.276	0.276	0.083	0.215	0.072	0.076	0.038	0.129	0.129	28.388	0.775	1288.905	1612.002	57.08	219.467	1212.619	268.555	0.79	0.072	1256.917	76.62	910.883	282.177
Kaiyumung	3.45	Nachukui	1	2.143	1.333	0.095	0.714	0.19	0.333	0.333	NA	NA	NA	NA	NA	NA	NA	25.923	NA	1187.332	1507.62	NA	NA	1192.996	NA	1.048	NA	1359.412	NA	1271.512	NA
Lower Lomekwi	3.22	Nachukui	2	2.154	1.323	0.111	0.662	0.169	0.378	0.303	0.066	0.052	0.045	0.026	0.013	0.03	0.024	28.125	1.119	1131.085	1508.154	88.954	64.253	1171.806	134.811	0.982	0.025	1272.952	4.849	1187.591	29.671
Middle Lomekwi	2.8	Nachukui	2	2.422	1.422	0.089	0.811	0.211	0.478	0.422	0.031	0.031	0.031	0.11	0.016	0.11	0.031	22.59	3.862	678.222	1502.607	80.606	225.411	998.285	70.671	1.034	0.047	1244.73	35.58	616.297	62.509
Upper Lomekwi	2.57	Nachukui	5	2.587	1.597	0.042	0.711	0.316	0.434	0.55	0.309	0.219	0.039	0.057	0.073	0.138	0.177	18.341	4.742	451.745	1552.581	420.543	541.595	951.998	239.682	1.02	0.133	1267.246	52.606	773.219	158.458
Lokalalei	2.43	Nachukui	2	2.575	1.575	0.066	0.616	0.158	0.7	0.7	0.247	0.247	0.094	0.165	0.129	0.424	0.424	30.559	3.796	406.073	1625.624	574.274	976.692	671.271	735.775	1.133	0.189	1312.702	33.302	1041.404	57.201
Kalochoro	2.1	Nachukui	5	2.745	1.472	0.017	0.802	0.238	0.49	0.587	0.185	0.097	0.037	0.094	0.101	0.057	0.081	22.146	7.038	143.326	1232.347	257.644	387.104	826.069	102.069	1.339	0.128	1207.627	82.747	971.729	124.38
Kaitio	1.68	Nachukui	6	2.343	1.353	0.021	0.758	0.358	0.525	0.436	0.244	0.039	0.051	0.084	0.108	0.117	0.038	14.81	6.472	747.397	2162.311	280.586	419.421	791.613	232.603	0.999	0.225	1291.917	73.659	994.817	141.29
Natoo	1.39	Nachukui	7	2.396	1.251	0.048	0.796	0.354	0.415	0.482	0.448	0.195	0.126	0.237	0.203	0.309	0.126	13.89	15.723	694.631	1893.456	574.78	950.991	987.283	591.123	1.366	0.515	1215.44	195.744	771.252	216.508
Nariokotome	1	Nachukui	2	2.2	1.348	0.072	0.828	0.348	0.448	0.448	0.283	0.115	0.101	0.04	0.115	0.027	0.027	13.22	10.311	1078.918	2177.684	413.299	669.945	997.882	253.192	1.1	0.141	1296.071	32.022	942.877	91.934
