UniqueKey	EastWest	Formation	Member	MidMemberAge	Order	Family	Subfamily	Tribe	Genus	Species	TaxonString	ComLocID	noSpecies	ComLoc_raw	ComLoc	FCT_HYP	FCT_HOR	FCT_LOP	FCT_AL	FCT_OL	FCT_SF	FCT_OT	FCT_CM	Living	LivingGenus	un_gen	MeanHYP	MeanLOP	MeanHOR	MeanAL	MeanOL	MeanSF	MeanOT	MeanCM	meanHYP	meanHOR	meanAL	meanOL	meanSF	meanOT	meanCM	meanLOP	temp_high	pred_npp_ecom	pred_npp_ecomI	pred_npp_base_ecom	pred_habitat	pred_taxa
20010	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Giraffidae	NA	Sivatheriini	Sivatherium	maurusium	ArtiodactylaGiraffidaeSivatheriiniSivatheriummaurusium	2	5	116 >< Lokochot	116 >< Lokochot	2	1	2	0	1	0	0	0	0	Giraffa	1	NA	NA	NA	NA	NA	NA	NA	NA	2.2	1	0	0.8	0.2	0	0.2	1.6	25.06	1369.06102919949	819.8	1404	1337.2	936.889063812416
20011	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Aepycerotini	Aepyceros	shungurae	ArtiodactylaBovidaeAepycerotiniAepycerosshungurae	2	5	116 >< Lokochot	116 >< Lokochot	3	1	2	0	1	0	0	0	0	Aepyceros	1	NA	NA	NA	NA	NA	NA	NA	NA	2.2	1	0	0.8	0.2	0	0.2	1.6	25.06	1369.06102919949	819.8	1404	1337.2	936.889063812416
20012	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Reduncini	Kobus	oricornus	ArtiodactylaBovidaeRedunciniKobusoricornus	2	5	116 >< Lokochot	116 >< Lokochot	3	1	2	0	1	1	0	1	0	Kobus	1	NA	NA	NA	NA	NA	NA	NA	NA	2.2	1	0	0.8	0.2	0	0.2	1.6	25.06	1369.06102919949	819.8	1404	1337.2	936.889063812416
20013	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Tragelaphini	Tragelaphus	rastafari	ArtiodactylaBovidaeTragelaphiniTragelaphusrastafari	2	5	116 >< Lokochot	116 >< Lokochot	2	1	2	0	1	0	0	0	0	Tragelaphus	1	NA	NA	NA	NA	NA	NA	NA	NA	2.2	1	0	0.8	0.2	0	0.2	1.6	25.06	1369.06102919949	819.8	1404	1337.2	936.889063812416
20014	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Tragelaphini	Tragelaphus	rastafari	ArtiodactylaBovidaeTragelaphiniTragelaphusrastafari	2	5	116 >< Lokochot	116 >< Lokochot	2	1	2	0	1	0	0	0	0	Tragelaphus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20009	E	Koobi Fora	Lokochot	3.52	Primates	Cercopithecidae	Colobinae	Colobini	Cercopithecoides	kimeui	PrimatesCercopithecidaeColobinaeColobiniCercopithecoideskimeui	2	5	116 >< Lokochot	116 >< Lokochot	1	1	0	0	0	0	0	0	0	Cercopithecus	1	NA	NA	NA	NA	NA	NA	NA	NA	2.2	1	0	0.8	0.2	0	0.2	1.6	25.06	1369.06102919949	819.8	1404	1337.2	936.889063812416
20015	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Giraffidae	NA	Giraffini	Giraffa	stillei	ArtiodactylaGiraffidaeGiraffiniGiraffastillei	3	21	117 >< Lokochot	117 >< Lokochot	1	1	2	0	1	0	0	0	0	Giraffa	1	NA	NA	NA	NA	NA	NA	NA	NA	2.214	1	0	0.857	0.214	0.286	0.143	1.429	22.9295	1262.17538996072	1379.869	1045.642	1255.41666666667	793.536380914808
20016	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Giraffidae	NA	Giraffini	Giraffa	pygmaea	ArtiodactylaGiraffidaeGiraffiniGiraffapygmaea	3	21	117 >< Lokochot	117 >< Lokochot	1	1	2	0	1	0	0	0	0	Giraffa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20017	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Tragelaphini	Tragelaphus	rastafari	ArtiodactylaBovidaeTragelaphiniTragelaphusrastafari	3	21	117 >< Lokochot	117 >< Lokochot	2	1	2	0	1	0	0	0	0	Tragelaphus	1	NA	NA	NA	NA	NA	NA	NA	NA	2.214	1	0	0.857	0.214	0.286	0.143	1.429	22.9295	1262.17538996072	1379.869	1045.642	1255.41666666667	793.536380914808
20021	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Alcelaphini	Connochaetes	gentryi	ArtiodactylaBovidaeAlcelaphiniConnochaetesgentryi	3	21	117 >< Lokochot	117 >< Lokochot	3	1	2	0	1	0	1	0	0	Connochaetes	1	NA	NA	NA	NA	NA	NA	NA	NA	2.214	1	0	0.857	0.214	0.286	0.143	1.429	22.9295	1262.17538996072	1379.869	1045.642	1255.41666666667	793.536380914808
20022	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Tragelaphini	Tragelaphus	rastafari	ArtiodactylaBovidaeTragelaphiniTragelaphusrastafari	3	21	117 >< Lokochot	117 >< Lokochot	2	1	2	0	1	0	0	0	0	Tragelaphus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20023	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Tragelaphini	Tragelaphus	rastafari	ArtiodactylaBovidaeTragelaphiniTragelaphusrastafari	3	21	117 >< Lokochot	117 >< Lokochot	2	1	2	0	1	0	0	0	0	Tragelaphus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20024	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Alcelaphini	Connochaetes	gentryi	ArtiodactylaBovidaeAlcelaphiniConnochaetesgentryi	3	21	117 >< Lokochot	117 >< Lokochot	3	1	2	0	1	0	1	0	0	Connochaetes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20025	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Alcelaphini	Connochaetes	gentryi	ArtiodactylaBovidaeAlcelaphiniConnochaetesgentryi	3	21	117 >< Lokochot	117 >< Lokochot	3	1	2	0	1	0	1	0	0	Connochaetes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20027	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Alcelaphini	Connochaetes	gentryi	ArtiodactylaBovidaeAlcelaphiniConnochaetesgentryi	3	21	117 >< Lokochot	117 >< Lokochot	3	1	2	0	1	0	1	0	0	Connochaetes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20028	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Reduncini	Kobus	oricornus	ArtiodactylaBovidaeRedunciniKobusoricornus	3	21	117 >< Lokochot	117 >< Lokochot	3	1	2	0	1	1	0	1	0	Kobus	1	NA	NA	NA	NA	NA	NA	NA	NA	2.214	1	0	0.857	0.214	0.286	0.143	1.429	22.9295	1262.17538996072	1379.869	1045.642	1255.41666666667	793.536380914808
20029	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Tragelaphini	Tragelaphus	rastafari	ArtiodactylaBovidaeTragelaphiniTragelaphusrastafari	3	21	117 >< Lokochot	117 >< Lokochot	2	1	2	0	1	0	0	0	0	Tragelaphus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20030	E	Koobi Fora	Lokochot	3.52	Artiodactyla	Bovidae	NA	Tragelaphini	Tragelaphus	rastafari	ArtiodactylaBovidaeTragelaphiniTragelaphusrastafari	3	21	117 >< Lokochot	117 >< Lokochot	2	1	2	0	1	0	0	0	0	Tragelaphus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
