SITE	lon_bio	lat_bio	bio1	bio12	NPP	genCount	occCount	occCount2	HYP	LOP	FCT_HOD	FCT_AL	FCT_OL	FCT_SF	FCT_OT	FCT_CM
59344	15.06	-24.87	164	34	67	4	4	4	2.75	1.75	1	0.25	1	0.25	0.25	0.25
59345	15.55	-24.87	164	66	129	8	8	8	2.5	1.625	1	0.125	0.875	0.125	0.125	0.125
59346	16.05	-24.87	154	123	235	10	10	10	2.5	1.7	1	0.1	0.9	0.1	0.2	0.2
59347	16.54	-24.87	157	155	293	11	11	11	2.545	1.545	1.182	0.091	0.818	0.091	0.273	0.273
59348	17.04	-24.87	173	182	341	11	11	11	2.545	1.545	1.182	0.091	0.818	0.091	0.273	0.182
59349	17.53	-24.87	204	186	349	11	11	11	2.545	1.545	1.182	0.091	0.818	0.091	0.273	0.182
59350	18.03	-24.87	201	248	455	11	11	11	2.545	1.545	1.182	0.091	0.818	0.091	0.273	0.182
59351	18.52	-24.87	201	244	449	11	11	11	2.545	1.545	1.182	0.091	0.818	0.091	0.273	0.182
59352	19.02	-24.87	201	217	403	12	12	12	2.583	1.583	1.167	0.083	0.833	0.083	0.333	0.167
59353	19.51	-24.87	200	216	401	11	11	11	2.545	1.545	1.182	0.091	0.818	0.091	0.364	0.182
59354	20.01	-24.87	201	228	421	12	12	12	2.417	1.583	1.167	0.083	0.833	0.083	0.333	0.167
59355	20.5	-24.87	203	246	452	10	10	10	2.7	1.7	1.2	0.1	0.9	0.1	0.4	0.2
59356	21	-24.87	203	268	489	10	10	10	2.7	1.7	1.2	0.1	0.9	0.1	0.4	0.2
59357	21.49	-24.87	202	290	525	10	10	10	2.7	1.7	1.2	0.1	0.9	0.1	0.4	0.2
59358	21.99	-24.87	201	311	560	10	10	10	2.7	1.7	1.2	0.1	0.9	0.1	0.4	0.2
59359	22.48	-24.87	202	317	569	10	10	10	2.7	1.7	1.2	0.1	0.9	0.1	0.4	0.2
59360	22.98	-24.87	201	320	574	10	10	10	2.7	1.7	1.2	0.1	0.9	0.1	0.4	0.2
59361	23.47	-24.87	202	333	595	11	11	11	2.545	1.545	1.182	0.091	0.818	0.091	0.364	0.182
59362	23.97	-24.87	200	373	658	11	11	11	2.545	1.545	1.182	0.091	0.818	0.091	0.364	0.182
59363	24.46	-24.87	197	421	732	11	11	11	2.545	1.545	1.182	0.091	0.818	0.091	0.364	0.182
59364	24.96	-24.87	190	487	829	12	12	12	2.417	1.417	1.167	0.083	0.75	0.167	0.333	0.167
59365	25.45	-24.87	193	489	832	15	15	15	2.4	1.4	1.133	0.067	0.733	0.2	0.267	0.2
59366	25.95	-24.87	195	432	748	18	18	18	2.389	1.5	1.111	0.056	0.778	0.222	0.278	0.222
59367	26.44	-24.87	203	469	803	20	20	20	2.45	1.55	1.1	0.05	0.8	0.15	0.35	0.2
59368	26.94	-24.87	193	609	998	21	21	21	2.476	1.571	1.095	0.048	0.81	0.19	0.333	0.19
59369	27.43	-24.87	209	582	962	22	22	22	2.5	1.591	1.091	0.045	0.818	0.227	0.318	0.182
59370	27.93	-24.87	194	606	994	24	24	24	2.458	1.542	1.083	0.042	0.792	0.208	0.292	0.167
59371	28.42	-24.87	184	636	1033	22	22	22	2.5	1.591	1.091	0.045	0.818	0.182	0.318	0.182
59372	28.92	-24.87	195	566	940	20	20	20	2.55	1.55	1.1	0.05	0.8	0.15	0.35	0.2
59373	29.41	-24.87	201	568	943	20	20	20	2.55	1.55	1.1	0.05	0.8	0.15	0.35	0.2
59374	29.91	-24.87	163	772	1203	19	19	19	2.421	1.421	1.105	0.053	0.737	0.158	0.316	0.211
59375	30.4	-24.87	183	812	1250	21	21	21	2.381	1.381	1.095	0.048	0.714	0.238	0.238	0.19
59376	30.9	-24.87	158	1039	1495	24	24	24	2.25	1.375	1.083	0.042	0.708	0.25	0.208	0.167
59377	31.39	-24.87	214	670	1077	22	22	22	2.273	1.318	1.091	0.045	0.727	0.227	0.273	0.182
59378	31.89	-24.87	218	655	1058	24	24	24	2.333	1.292	1.167	0.042	0.75	0.208	0.333	0.208
59379	32.38	-24.87	228	710	1128	16	16	16	2.188	1.188	1.125	0.062	0.688	0.312	0.125	0.188
59380	32.88	-24.87	231	784	1217	13	13	13	2.077	1.154	1.154	0.077	0.615	0.231	0.154	0.231
59381	33.37	-24.87	234	855	1300	13	13	13	2	1	1.154	0.077	0.615	0.308	0.154	0.231
59382	33.87	-24.87	231	815	1254	12	12	12	2	1.083	1.167	0.083	0.583	0.25	0.167	0.25
60073	14.85	-24.42	169	23	45	4	4	4	2.75	1.75	1	0.25	1	0.25	0.25	0.25
60074	15.34	-24.42	171	58	113	7	7	7	2.714	1.857	1	0.143	1	0.143	0.143	0.143
60075	15.83	-24.42	175	92	178	8	8	8	2.5	1.625	1	0.125	0.875	0.125	0.125	0.125
60076	16.33	-24.42	156	175	329	10	10	10	2.5	1.5	1.2	0.1	0.8	0.1	0.2	0.2
60077	16.82	-24.42	170	173	326	11	11	11	2.545	1.545	1.182	0.091	0.818	0.091	0.273	0.182
60078	17.31	-24.42	189	202	377	11	11	11	2.545	1.545	1.182	0.091	0.818	0.091	0.273	0.182
60079	17.81	-24.42	201	210	390	11	11	11	2.545	1.545	1.182	0.091	0.818	0.091	0.273	0.182
60080	18.3	-24.42	202	239	440	11	11	11	2.545	1.545	1.182	0.091	0.818	0.091	0.273	0.182
60081	18.79	-24.42	199	234	432	12	12	12	2.583	1.583	1.167	0.083	0.833	0.083	0.333	0.167
60082	19.29	-24.42	198	222	411	12	12	12	2.583	1.583	1.167	0.083	0.833	0.083	0.333	0.167
60083	19.78	-24.42	199	224	415	11	11	11	2.545	1.545	1.182	0.091	0.818	0.091	0.364	0.182
60084	20.27	-24.42	201	248	455	11	11	11	2.545	1.545	1.182	0.091	0.818	0.091	0.364	0.182
60085	20.77	-24.42	203	269	491	10	10	10	2.7	1.7	1.2	0.1	0.9	0.1	0.4	0.2
60087	21.75	-24.42	202	314	565	10	10	10	2.7	1.7	1.2	0.1	0.9	0.1	0.4	0.2
60088	22.25	-24.42	202	324	581	10	10	10	2.7	1.7	1.2	0.1	0.9	0.1	0.4	0.2
60089	22.74	-24.42	203	325	582	10	10	10	2.7	1.7	1.2	0.1	0.9	0.1	0.4	0.2
60090	23.23	-24.42	202	341	608	11	11	11	2.545	1.545	1.182	0.091	0.818	0.091	0.364	0.182
60091	23.73	-24.42	200	363	643	11	11	11	2.545	1.545	1.182	0.091	0.818	0.091	0.364	0.182
60092	24.22	-24.42	199	398	697	11	11	11	2.545	1.545	1.182	0.091	0.818	0.091	0.364	0.182
60093	24.71	-24.42	196	446	769	11	11	11	2.545	1.545	1.182	0.091	0.818	0.091	0.364	0.182
60094	25.21	-24.42	192	486	827	13	13	13	2.462	1.462	1.154	0.077	0.769	0.154	0.308	0.154
60095	25.7	-24.42	196	473	809	13	13	13	2.308	1.308	1.154	0.077	0.692	0.154	0.308	0.154
60096	26.19	-24.42	202	466	798	15	15	15	2.267	1.267	1.133	0.067	0.667	0.2	0.267	0.133
60097	26.69	-24.42	209	478	816	21	21	21	2.381	1.381	1.19	0.048	0.762	0.19	0.381	0.238
60098	27.18	-24.42	213	539	903	22	22	22	2.409	1.5	1.091	0.045	0.773	0.227	0.318	0.182
60099	27.67	-24.42	169	710	1128	23	23	23	2.435	1.435	1.174	0.043	0.783	0.174	0.348	0.217
60100	28.17	-24.42	184	622	1015	22	22	22	2.409	1.5	1.091	0.045	0.773	0.182	0.318	0.182
60101	28.66	-24.42	184	587	968	23	23	23	2.435	1.522	1.087	0.043	0.783	0.174	0.304	0.174
60102	29.15	-24.42	197	519	875	20	20	20	2.45	1.45	1.1	0.05	0.75	0.25	0.3	0.2
60103	29.65	-24.42	201	626	1020	20	20	20	2.45	1.45	1.1	0.05	0.75	0.25	0.3	0.2
60104	30.14	-24.42	191	799	1235	20	20	20	2.35	1.35	1.1	0.05	0.7	0.25	0.25	0.2
60105	30.63	-24.42	193	807	1244	24	24	24	2.292	1.375	1.083	0.042	0.708	0.208	0.25	0.167
60106	31.13	-24.42	215	602	988	22	22	22	2.318	1.318	1.182	0.045	0.727	0.182	0.318	0.227
60107	31.62	-24.42	219	589	971	24	24	24	2.333	1.292	1.167	0.042	0.75	0.208	0.333	0.208
60108	32.11	-24.42	229	598	983	17	17	17	2.235	1.118	1.235	0.059	0.706	0.294	0.176	0.235
60109	32.61	-24.42	236	671	1079	14	14	14	2.143	1.214	1.143	0.071	0.643	0.286	0.143	0.214
60110	33.1	-24.42	242	650	1052	14	14	14	2.071	1.071	1.143	0.071	0.643	0.286	0.143	0.214
60111	33.59	-24.42	244	682	1093	12	12	12	2	1.083	1.167	0.083	0.583	0.25	0.167	0.25
60112	34.09	-24.42	241	705	1121	14	14	14	2	0.929	1.286	0.071	0.571	0.214	0.214	0.286
60113	34.58	-24.42	237	798	1234	13	13	13	1.923	1	1.154	0.077	0.538	0.231	0.154	0.231
60114	35.07	-24.42	232	928	1380	13	13	13	1.923	1	1.154	0.077	0.538	0.231	0.154	0.231
60804	14.65	-23.97	170	13	26	4	4	4	2.75	1.75	1	0.25	1	0.25	0.25	0.25
60805	15.15	-23.97	189	38	75	5	5	5	2.6	1.8	1	0.2	1	0.2	0.2	0.2
60806	15.64	-23.97	190	82	159	8	8	8	2.5	1.625	1	0.125	0.875	0.125	0.125	0.125
60807	16.13	-23.97	176	164	310	11	11	11	2.455	1.727	1	0.091	0.909	0.091	0.182	0.182
60808	16.62	-23.97	178	228	421	12	12	12	2.5	1.583	1.167	0.083	0.833	0.083	0.25	0.167
60809	17.11	-23.97	187	229	423	12	12	12	2.5	1.583	1.167	0.083	0.833	0.083	0.25	0.167
60810	17.6	-23.97	198	216	401	13	13	13	2.538	1.615	1.154	0.077	0.846	0.077	0.308	0.154
60811	18.1	-23.97	199	231	427	13	13	13	2.538	1.615	1.154	0.077	0.846	0.077	0.308	0.154
60812	18.59	-23.97	198	248	455	12	12	12	2.583	1.583	1.167	0.083	0.833	0.083	0.333	0.167
60813	19.08	-23.97	196	241	444	12	12	12	2.583	1.583	1.167	0.083	0.833	0.083	0.333	0.167
60814	19.57	-23.97	197	231	427	11	11	11	2.545	1.545	1.182	0.091	0.818	0.091	0.364	0.182
