Genus	TAXON	FAMILY	ORDER	HYP	LOP	FCT_HOD	FCT_AL	FCT_OL	FCT_SF	FCT_OT	FCT_CM
Antilocapra	Antilocapra americana	Antilocapridae	Artiodactyla	3	2	1	0	1	0	0	0
Addax	Addax nasomaculatus	Bovidae	Artiodactyla	3	2	1	0	1	1	0	0
Aepyceros	Aepyceros melampus	Bovidae	Artiodactyla	3	2	1	0	1	0	0	0
Alcelaphus	Alcelaphus buselaphus	Bovidae	Artiodactyla	3	2	1	0	1	0	1	0
Ammodorcas	Ammodorcas clarkei	Bovidae	Artiodactyla	1	2	1	0	1	0	0	0
Ammotragus	Ammotragus lervia	Bovidae	Artiodactyla	3	2	1	0	1	0	0	0
Antidorcas	Antidorcas marsupialis	Bovidae	Artiodactyla	3	2	1	0	1	0	0	0
Antilope	Antilope cervicapra	Bovidae	Artiodactyla	3	2	1	0	1	0	0	0
Beatragus	Beatragus hunteri	Bovidae	Artiodactyla	3	2	1	0	1	0	1	0
Bison	Bison bison	Bovidae	Artiodactyla	3	2	1	0	1	0	1	0
Bos	Bos frontalis	Bovidae	Artiodactyla	3	2	1	0	1	0	1	1
Boselaphus	Boselaphus tragocamelus	Bovidae	Artiodactyla	3	2	1	0	1	0	0	0
Bubalus	Bubalus bubalis	Bovidae	Artiodactyla	3	2	1	0	1	0	1	1
Budorcas	Budorcas taxicolor	Bovidae	Artiodactyla	3	2	1	0	1	0	0	0
Capra	Capra caucasica	Bovidae	Artiodactyla	3	2	1	0	1	0	0	0
Capricornis	Capricornis crispus	Bovidae	Artiodactyla	3	2	1	0	1	0	0	0
Cephalophus	Cephalophus adersi	Bovidae	Artiodactyla	2	2	1	0	1	1	0	0
Connochaetes	Connochaetes gnou	Bovidae	Artiodactyla	3	2	1	0	1	0	1	0
Damaliscus	Damaliscus korrigum	Bovidae	Artiodactyla	3	2	1	0	1	0	1	0
Dorcatragus	Dorcatragus megalotis	Bovidae	Artiodactyla	3	2	1	0	1	0	0	0
Eudorcas	Eudorcas rufifrons	Bovidae	Artiodactyla	3	2	1	0	1	0	0	0
Gazella	Gazella arabica	Bovidae	Artiodactyla	3	2	1	0	1	0	0	0
Hemitragus	Hemitragus hylocrius	Bovidae	Artiodactyla	3	2	1	0	1	0	0	0
Hippotragus	Hippotragus equinus	Bovidae	Artiodactyla	3	2	1	0	1	1	0	0
Kobus	Kobus ellipsiprymnus	Bovidae	Artiodactyla	3	2	1	0	1	1	0	0
Litocranius	Litocranius walleri	Bovidae	Artiodactyla	2	2	1	0	1	0	0	0
Madoqua	Madoqua guentheri	Bovidae	Artiodactyla	2	2	1	0	1	0	0	0
Naemorhedus	Naemorhedus baileyi	Bovidae	Artiodactyla	3	2	1	0	1	0	0	0
Nanger	Nanger dama	Bovidae	Artiodactyla	3	2	1	0	1	0	0	0
Neotragus	Neotragus batesi	Bovidae	Artiodactyla	2	2	1	0	1	0	0	0
Oreamnos	Oreamnos americanus	Bovidae	Artiodactyla	3	2	1	0	1	0	0	0
Oreotragus	Oreotragus oreotragus	Bovidae	Artiodactyla	3	2	1	0	1	0	0	0
Oryx	Oryx beisa	Bovidae	Artiodactyla	3	2	1	0	1	1	0	0
Ourebia	Ourebia ourebi	Bovidae	Artiodactyla	3	2	1	0	1	0	0	0
Ovibos	Ovibos moschatus	Bovidae	Artiodactyla	3	2	1	0	1	0	0	0
Ovis	Ovis ammon	Bovidae	Artiodactyla	3	2	1	0	1	0	0	0
Pantholops	Pantholops hodgsonii	Bovidae	Artiodactyla	3	2	1	0	1	0	0	0
Pelea	Pelea capreolus	Bovidae	Artiodactyla	3	2	1	0	1	1	0	0
Philantomba	Philantomba maxwellii	Bovidae	Artiodactyla	1	2	1	0	1	0	0	0
Procapra	Procapra gutturosa	Bovidae	Artiodactyla	3	2	1	0	1	0	0	0
Pseudois	Pseudois nayaur	Bovidae	Artiodactyla	3	2	1	0	1	0	0	0
Pseudoryx	Pseudoryx nghetinhensis	Bovidae	Artiodactyla	NA	NA	NA	NA	NA	NA	NA	NA
Raphicerus	Raphicerus campestris	Bovidae	Artiodactyla	3	2	1	0	1	0	0	0
Redunca	Redunca arundinum	Bovidae	Artiodactyla	3	2	1	0	1	1	0	1
Rupicapra	Rupicapra pyrenaica	Bovidae	Artiodactyla	3	2	1	0	1	0	0	0
Saiga	Saiga borealis	Bovidae	Artiodactyla	3	2	1	0	1	0	0	0
Sylvicapra	Sylvicapra grimmia	Bovidae	Artiodactyla	2	2	1	0	1	0	0	0
Syncerus	Syncerus caffer	Bovidae	Artiodactyla	3	2	1	0	1	0	1	0
Taurotragus	Taurotragus derbianus	Bovidae	Artiodactyla	3	2	1	0	1	0	0	0
Tetracerus	Tetracerus quadricornis	Bovidae	Artiodactyla	3	2	1	0	1	0	0	0
Tragelaphus	Tragelaphus angasii	Bovidae	Artiodactyla	2	2	1	0	1	0	0	0
Camelus	Camelus bactrianus	Camelidae	Artiodactyla	3	2	1	0	1	0	0	0
Lama	Lama glama	Camelidae	Artiodactyla	3	2	1	0	1	0	0	0
Vicugna	Vicugna vicugna	Camelidae	Artiodactyla	3	2	1	0	1	0	0	0
Alces	Alces alces	Cervidae	Artiodactyla	1	2	1	0	1	0	0	0
Axis	Axis axis	Cervidae	Artiodactyla	2	2	1	0	1	1	0	0
Blastocerus	Blastocerus dichotomus	Cervidae	Artiodactyla	1	2	1	0	1	0	0	0
Capreolus	Capreolus capreolus	Cervidae	Artiodactyla	1	2	1	0	1	0	0	0
Cervus	Cervus duvaucelii	Cervidae	Artiodactyla	2	2	1	0	1	1	0	0
Dama	Dama dama	Cervidae	Artiodactyla	1	2	1	0	1	0	0	0
Elaphodus	Elaphodus cephalophus	Cervidae	Artiodactyla	1	2	1	0	1	1	0	0
Elaphurus	Elaphurus davidianus	Cervidae	Artiodactyla	1	2	1	0	1	1	0	0
Hippocamelus	Hippocamelus antisensis	Cervidae	Artiodactyla	1	2	1	0	1	0	0	0
Hydropotes	Hydropotes inermis	Cervidae	Artiodactyla	1	2	1	0	1	0	0	0
Mazama	Mazama americana	Cervidae	Artiodactyla	1	2	1	0	1	0	0	0
Muntiacus	Muntiacus atherodes	Cervidae	Artiodactyla	1	2	1	0	1	0	0	0
Odocoileus	Odocoileus hemionus	Cervidae	Artiodactyla	1	2	1	0	1	0	0	0
Ozotoceros	Ozotoceros bezoarticus	Cervidae	Artiodactyla	1	2	1	0	1	0	0	0
Przewalskium	Przewalskium albirostris	Cervidae	Artiodactyla	2	2	1	0	1	1	0	0
Pudu	Pudu mephistophiles	Cervidae	Artiodactyla	1	2	1	0	1	0	0	0
Rangifer	Rangifer tarandus	Cervidae	Artiodactyla	1	2	1	0	1	0	0	0
Rucervus	Rucervus duvaucelii	Cervidae	Artiodactyla	2	2	1	0	1	1	0	0
Rusa	Rusa alfredi	Cervidae	Artiodactyla	2	2	1	0	1	1	0	0
Giraffa	Giraffa camelopardalis	Giraffidae	Artiodactyla	1	2	1	0	1	0	0	0
Okapia	Okapia johnstoni	Giraffidae	Artiodactyla	1	2	1	0	1	0	0	0
Hexaprotodon	Hexaprotodon liberiensis	Hippopotamidae	Artiodactyla	1	0	1	0	1	1	0	0
Hippopotamus	Hippopotamus amphibius	Hippopotamidae	Artiodactyla	2	0	1	0	1	1	0	0
Moschus	Moschus anhuiensis	Moschidae	Artiodactyla	1	2	1	0	1	0	0	0
Babyrousa	Babyrousa babyrussa	Suidae	Artiodactyla	1	0	1	0	0	0	0	0
Hylochoerus	Hylochoerus meinertzhageni	Suidae	Artiodactyla	2	0	2	0	1	1	0	1
Phacochoerus	Phacochoerus aethiopicus	Suidae	Artiodactyla	3	0	3	0	0	0	1	1
Potamochoerus	Potamochoerus larvatus	Suidae	Artiodactyla	1	0	1	0	0	1	0	0
Sus	Sus ahoenobarbus	Suidae	Artiodactyla	1	0	1	0	0	1	0	0
Catagonus	Catagonus wagneri	Tayassuidae	Artiodactyla	1	0	1	0	0	1	0	0
